Раздел,ID события,Описание события,Источник,Критичность,Данные,Таблица
,auth.recover_account,Восстановление доступа к аккаунту,Auth Service,Высокая,"user_id, recovery_method, session_id, timestamp",crm_events
,auth.time_spent,"Время, затраченное на процесс авторизации",Portal Frontend,Низкая,"duration_ms, success (bool), session_id, timestamp",user_events
Регистрация чека,,,,,,
,receipt.start,Начало процесса регистрации чека покупки,Portal Frontend,Средняя,"user_id, campaign_id, session_id, timestamp",user_events
,receipt.upload,Загрузка фотографии чека пользователем,Portal Frontend,Высокая,"user_id, file_size, file_format, campaign_id, session_id, timestamp",user_events
,receipt.quality.check,Автоматическая проверка качества изображения чека,Verification Service,Средняя,"user_id, quality_score, passed (bool), session_id, timestamp",user_events
,receipt.ocr.start,Запуск OCR-распознавания данных с чека,Verification Service,Средняя,"user_id, receipt_id, ocr_provider, timestamp",crm_events
,receipt.ocr.complete,Завершение распознавания и извлечение данных,Verification Service,Высокая,"user_id, receipt_id, ocr_confidence, extracted_data{}, timestamp",crm_events
,receipt.validation,"Валидация распознанных данных (магазин, дата, сумма)",Verification Service,Высокая,"user_id, receipt_id, store_name, amount, date, valid (bool), timestamp",crm_events
,receipt.complete,Успешная регистрация чека и подтверждение покупки,Verification Service,Высокая,"user_id, receipt_id, amount, store_name, campaign_id, timestamp",user_events
,receipt.error.format,Ошибка формата файла изображения чека,Portal Frontend,Низкая,"user_id, error_code, file_format, timestamp",user_events
,receipt.error.quality,Отклонение из-за низкого качества фото чека,Verification Service,Средняя,"user_id, quality_score, reason, timestamp",user_events
,receipt.error.ocr,Ошибка распознавания текста на чеке,Verification Service,Средняя,"user_id, receipt_id, ocr_error_code, timestamp",crm_events
,receipt.error.validation,Отклонение из-за некорректных данных на чеке,Verification Service,Средняя,"user_id, receipt_id, validation_errors[], timestamp",crm_events
,receipt.error.existing,Попытка регистрации уже использованного чека,Verification Service,Высокая,"user_id, receipt_id, original_user_id, timestamp",crm_events
,receipt.retrying,Повторная попытка загрузки/регистрации чека,Portal Frontend,Средняя,"user_id, attempt_number, receipt_id, timestamp",user_events
,receipt.time_spent,"Время, затраченное на процесс регистрации чека",Portal Frontend,Средняя,"user_id, total_duration_ms, session_id, timestamp",user_events
Регистрация кода,,,,,,
,code.start,Начало процесса регистрации уникального кода,Portal Frontend,Средняя,"user_id, campaign_id, session_id, timestamp",user_events
,code.input,Ввод кода с упаковки продукта,Portal Frontend,Средняя,"user_id, code_hash, session_id, timestamp",user_events
,code.validation,Проверка кода в базе данных системы,Campaign Service,Высокая,"user_id, code_hash, product_id, valid (bool), timestamp",crm_events
,code.complete,Успешная регистрация кода и подтверждение покупки,Campaign Service,Высокая,"user_id, code_hash, product_id, campaign_id, timestamp",user_events
,code.error.format,Ошибка формата введенного кода,Portal Frontend,Низкая,"user_id, error_code, code_hash, timestamp",user_events
,code.error.existing,Попытка использования уже зарегистрированного кода,Campaign Service,Высокая,"user_id, code_hash, original_user_id, timestamp",crm_events
,code.error.invalid,Ввод неверного/несуществующего кода,Campaign Service,Средняя,"user_id, code_hash, attempts, timestamp",crm_events
,code.retrying,Повторная попытка ввода кода,Portal Frontend,Средняя,"user_id, attempt_number, code_hash, timestamp",user_events
,code.time_spent,"Время, затраченное на процесс регистрации кода",Portal Frontend,Средняя,"user_id, total_duration_ms, session_id, timestamp",user_events
Участие в активностях — просмотр и выбор,,,,,,
,activity.list.view,Просмотр списка доступных активностей в ЛК,Portal Frontend,Средняя,"user_id, campaign_id, activities_count, session_id, timestamp",user_events
,activity.list.filter,Применение фильтров к списку активностей,Portal Frontend,Низкая,"user_id, filters{}, session_id, timestamp",user_events
,activity.list.search,Поиск активностей по ключевым словам,Portal Frontend,Низкая,"user_id, query_text, results_count, timestamp",user_events
,activity.list.sort,Сортировка активностей по параметрам,Portal Frontend,Низкая,"user_id, sort_by, sort_order, timestamp",user_events
,activity.list.time_spent,Время пребывания на странице выбора активностей,Portal Frontend,Низкая,"user_id, duration_ms, session_id, timestamp",user_events
Участие в активностях — мгновенные,,,,,,
,activity.start,"Начало участия в мгновенной активности (рулетка, квиз)",Activity Engine,Высокая,"user_id, activity_id, activity_type, campaign_id, timestamp",user_events
,activity.step,"Выполнение шага активности (ответ на вопрос, вращение)",Activity Engine,Средняя,"user_id, activity_id, step_number, step_data{}, timestamp",user_events
,activity.complete,Завершение активности пользователем,Activity Engine,Высокая,"user_id, activity_id, success (bool), duration_ms, timestamp",user_events
,activity.result,Получение результата активности (выигрыш/проигрыш),Activity Engine,Высокая,"user_id, activity_id, result (win/lose), prize_id, timestamp",user_events
,activity.reward,Начисление баллов или мгновенного приза,Activity Engine,Высокая,"user_id, activity_id, reward_type, reward_amount, timestamp",user_events
,activity.error,Ошибка при выполнении активности,Activity Engine,Высокая,"user_id, activity_id, error_code, error_message, timestamp",system_events
,activity.abandon,Прерывание активности до завершения,Portal Frontend,Средняя,"user_id, activity_id, last_step, reason, timestamp",user_events
,activity.time_spent,"Время, затраченное на выполнение активности",Portal Frontend,Средняя,"user_id, activity_id, total_duration_ms, timestamp",user_events
,activity.retry,Повторная попытка участия в активности,Activity Engine,Средняя,"user_id, activity_id, attempt_number, timestamp",user_events
,activity.rate,Оценка активности пользователем (1-5 звезд),Portal Frontend,Средняя,"user_id, activity_id, rating (1-5), comment, timestamp",user_events
Участие в активностях — с модерацией,,,,,,
,activity.start,Начало участия в активности с модерацией (конкурс),Activity Engine,Высокая,"user_id, activity_id, activity_type, campaign_id, timestamp",user_events
,activity.step.upload,"Загрузка пользовательского контента (фото, текст)",Portal Frontend,Высокая,"user_id, activity_id, file_type, file_size, timestamp",user_events
,activity.step.review,Предварительный просмотр загруженной работы,Portal Frontend,Низкая,"user_id, activity_id, session_id, timestamp",user_events
,activity.submit,Отправка работы на модерацию,Activity Engine,Высокая,"user_id, activity_id, submission_id, timestamp",user_events
,activity.moderation.waiting,Ожидание модерации работы системой/администратором,Moderation Service,Средняя,"user_id, submission_id, queue_position, timestamp",crm_events
,activity.moderation.approved,Одобрение работы модератором,Moderation Service,Высокая,"user_id, submission_id, moderator_id, timestamp",crm_events
,activity.moderation.rejected,Отклонение работы модератором,Moderation Service,Высокая,"user_id, submission_id, moderator_id, timestamp",crm_events
,activity.moderation.reason,Фиксация причины отклонения работы,Moderation Service,Высокая,"user_id, submission_id, rejection_reason, timestamp",crm_events
,activity.moderation.retry,Повторная отправка исправленной работы,Portal Frontend,Средняя,"user_id, submission_id, attempt_number, timestamp",user_events
,activity.result,Получение итогового результата после модерации,Activity Engine,Высокая,"user_id, activity_id, result, prize_id, timestamp",user_events
,activity.reward,Начисление награды после успешной модерации,Activity Engine,Высокая,"user_id, activity_id, reward_type, reward_amount, timestamp",user_events
,activity.time_spent,Общее время от отправки до получения результата,Portal Frontend,Средняя,"user_id, activity_id, total_duration_ms, timestamp",user_events
,activity.rate,Оценка активности пользователем,Portal Frontend,Средняя,"user_id, activity_id, rating (1-5), timestamp",user_events
Получение электронного приза,,,,,,
,prize.electronic.request,"Запрос электронного приза (промокод, сертификат)",Portal Frontend,Высокая,"user_id, prize_id, prize_type, campaign_id, timestamp",user_events
,prize.electronic.sending,Отправка электронного приза в выбранный канал,Notification Service,Высокая,"user_id, prize_id, channel (vk/email), message_id, timestamp",crm_events
,prize.electronic.complete,Успешное получение электронного приза,Notification Service,Высокая,"user_id, prize_id, delivered (bool), timestamp",user_events
,prize.electronic.error,Ошибка при отправке электронного приза,Notification Service,Высокая,"user_id, prize_id, error_code, error_message, timestamp",system_events
,prize.electronic.time_spent,Время от запроса до получения приза,Portal Frontend,Средняя,"user_id, prize_id, total_duration_ms, timestamp",user_events
,prize.electronic.open,Открытие/активация полученного электронного приза,Portal Frontend,Средняя,"user_id, prize_id, activated (bool), timestamp",user_events
Получение физического приза,,,,,,
,prize.physical.start,Начало процесса получения физического приза,Portal Frontend,Высокая,"user_id, prize_id, campaign_id, session_id, timestamp",user_events
,prize.physical.form.fill,Заполнение формы с данными для доставки,Portal Frontend,Высокая,"user_id, prize_id, fields_filled[], timestamp",user_events
,prize.physical.form.submit,Отправка заполненной формы,Portal Frontend,Высокая,"user_id, prize_id, submission_id, timestamp",user_events
,prize.physical.act.sign,Подписание электронного акта получения,Portal Frontend,Высокая,"user_id, prize_id, act_id, signed (bool), timestamp",user_events
,prize.physical.act.upload,Загрузка скана/фото подписанного акта,Portal Frontend,Высокая,"user_id, prize_id, act_id, file_size, timestamp",user_events
,prize.physical.moderation.waiting,Ожидание модерации загруженного акта,Moderation Service,Средняя,"user_id, prize_id, act_id, queue_position, timestamp",crm_events
,prize.physical.moderation.approved,Одобрение акта модератором,Moderation Service,Высокая,"user_id, prize_id, act_id, moderator_id, timestamp",crm_events
,prize.physical.moderation.rejected,Отклонение акта модератором,Moderation Service,Высокая,"user_id, prize_id, act_id, moderator_id, timestamp",crm_events
,prize.physical.moderation.reason,Фиксация причины отклонения акта,Moderation Service,Высокая,"user_id, prize_id, act_id, rejection_reason, timestamp",crm_events
,prize.physical.moderation.retry,Повторная загрузка исправленного акта,Portal Frontend,Средняя,"user_id, prize_id, act_id, attempt_number, timestamp",user_events
,prize.physical.shipping,Инициация процесса доставки приза курьером,Campaign Service,Высокая,"user_id, prize_id, delivery_service, tracking_number, timestamp",crm_events
,prize.physical.tracking,Отслеживание статуса доставки приза,Campaign Service,Средняя,"user_id, prize_id, tracking_number, status, timestamp",crm_events
,prize.physical.complete,Подтверждение получения физического приза,Campaign Service,Высокая,"user_id, prize_id, received_at, signature, timestamp",user_events
,prize.physical.error,Ошибка на любом этапе получения физического приза,Campaign Service,Высокая,"user_id, prize_id, error_code, error_message, timestamp",system_events
,prize.physical.time_spent,Общее время от запроса до получения приза,Portal Frontend,Средняя,"user_id, prize_id, total_duration_ms, timestamp",user_events
,prize.physical.rate,Оценка процесса получения приза пользователем,Portal Frontend,Средняя,"user_id, prize_id, rating (1-5), comment, timestamp",user_events
Личный кабинет,,,,,,
,profile.view,Просмотр профиля пользователя в ЛК,Portal Frontend,Низкая,"user_id, session_id, timestamp",user_events
,profile.edit,Редактирование данных профиля,Portal Frontend,Средняя,"user_id, fields_changed[], timestamp",user_events
,profile.balance.view,Просмотр текущего баланса баллов,Portal Frontend,Средняя,"user_id, balance, session_id, timestamp",user_events
,profile.history.view,Просмотр истории участия в активностях,Portal Frontend,Низкая,"user_id, session_id, timestamp",user_events
,profile.rewards.view,Просмотр истории полученных призов,Portal Frontend,Низкая,"user_id, session_id, timestamp",user_events
,profile.settings.view,Просмотр настроек аккаунта,Portal Frontend,Низкая,"user_id, session_id, timestamp",user_events
,profile.settings.change,Изменение настроек аккаунта,Portal Frontend,Средняя,"user_id, settings_changed{}, timestamp",user_events
Повторное участие,,,,,,
,return.start,Возврат пользователя в систему после перерыва,Portal Frontend,Средняя,"user_id, days_since_last_visit, campaign_id, timestamp",user_events
,return.activity.select,Выбор новой активности для участия,Portal Frontend,Средняя,"user_id, activity_id, campaign_id, timestamp",user_events
,return.purchase.repeat,Повторная регистрация чека/кода для новой покупки,Verification Service,Высокая,"user_id, purchase_type (receipt/code), campaign_id, timestamp",user_events
,return.reward.claim,Обмен накопленных баллов на призы,Activity Engine,Высокая,"user_id, points_spent, prize_id, timestamp",user_events
,return.campaign.join,Присоединение к новой промо-кампании,Campaign Service,Высокая,"user_id, new_campaign_id, timestamp",user_events
,return.time_spent,"Время, затраченное на повторное взаимодействие",Portal Frontend,Средняя,"user_id, total_duration_ms, session_id, timestamp",user_events
Завершение взаимодействия,,,,,,
,exit.start,Инициация выхода из системы/кампании,Portal Frontend,Средняя,"user_id, session_id, timestamp",user_events
,exit.reason,Указание причины отказа от участия,Portal Frontend,Средняя,"user_id, reason_code, reason_text, timestamp",user_events
,exit.complete,Успешный выход из системы,Portal Frontend,Низкая,"user_id, session_id, timestamp",user_events
,exit.unsubscribe,Отписка от уведомлений кампании,Notification Service,Средняя,"user_id, campaign_id, notification_type, timestamp",crm_events
,exit.deactivate,Деактивация аккаунта пользователя,Auth Service,Высокая,"user_id, reason, deleted_data{}, timestamp",crm_events
Системные ошибки,,,,,,
,system.error.validation,Ошибка валидации пользовательских данных,System,Средняя,"error_code, field, user_id, timestamp",system_events
,system.error.api,Ошибка при вызове внешнего API,System,Высокая,"api_name, error_code, response_time_ms, timestamp",system_events
,system.error.db,Ошибка доступа к базе данных,System,Высокая,"db_operation, error_code, table, timestamp",system_events
,system.error.timeout,Таймаут операции или запроса,System,Высокая,"operation, timeout_ms, service, timestamp",system_events
,system.error.integration,Ошибка интеграции с внешней системой,System,Высокая,"integration_name, error_code, timestamp",system_events
,system.error.payment,Ошибка при обработке платежа,System,Высокая,"user_id, amount, error_code, timestamp",system_events
,system.error.delivery,Ошибка при обработке доставки приза,System,Высокая,"user_id, prize_id, tracking_number, error_code, timestamp",system_events
,system.error.moderation,Ошибка в процессе модерации,System,Средняя,"submission_id, moderator_id, error_code, timestamp",system_events
,system.error.chatbot,Ошибка работы чат-бота,Bot Engine,Средняя,"user_id, conversation_id, error_code, timestamp",system_events
,system.error.critical,"Критическая ошибка системы, требующая вмешательства",System,Высокая,"error_code, service, stack_trace, timestamp",system_events
Уведомления,,,,,,
,notification.sent,Отправка уведомления пользователю,Notification Service,Средняя,"user_id, notification_type, channel, message_id, timestamp",crm_events
,notification.delivered,Доставка уведомления до устройства пользователя,Notification Service,Средняя,"user_id, message_id, delivered_at, timestamp",crm_events
,notification.opened,Открытие пользователем полученного уведомления,Portal Frontend,Средняя,"user_id, message_id, opened_at, timestamp",user_events
,notification.action,Выполнение действия по уведомлению (клик),Portal Frontend,Средняя,"user_id, message_id, action_type, timestamp",user_events
,notification.error,Ошибка при отправке/доставке уведомления,Notification Service,Высокая,"user_id, notification_type, error_code, error_message, timestamp",system_events
,notification.type,"Тип уведомления (SMS, Email, Push)",Notification Service,Низкая,"user_id, notification_type, campaign_id, timestamp",crm_events
Модерация,,,,,,
,moderation.start,Начало процесса модерации контента/документа,Moderation Service,Средняя,"submission_id, moderator_id, submission_type, timestamp",crm_events
,moderation.approved,Одобрение модератором,Moderation Service,Высокая,"submission_id, moderator_id, user_id, timestamp",crm_events
,moderation.rejected,Отклонение модератором,Moderation Service,Высокая,"submission_id, moderator_id, user_id, timestamp",crm_events
,moderation.reason,Фиксация причины решения модератора,Moderation Service,Высокая,"submission_id, moderator_id, reason_code, reason_text, timestamp",crm_events
,moderation.time_spent,"Время, затраченное модератором на проверку",Moderation Service,Средняя,"submission_id, moderator_id, duration_ms, timestamp",crm_events
,moderation.by,"Идентификатор модератора, выполнившего действие",Moderation Service,Средняя,"submission_id, moderator_id, action, timestamp",crm_events
Персонализация,,,,,,
,personalization.view,Просмотр персонализированного контента,Portal Frontend,Средняя,"user_id, content_id, personalization_rule, timestamp",user_events
,personalization.click,Клик по персонализированному предложению,Portal Frontend,Средняя,"user_id, content_id, offer_id, timestamp",user_events
,personalization.convert,Конверсия через персонализированное предложение,Portal Frontend,Высокая,"user_id, offer_id, conversion_value, timestamp",user_events
,personalization.rate,Оценка релевантности персонализации,Portal Frontend,Низкая,"user_id, content_id, rating (1-5), timestamp",user_events
A/B тестирование,,,,,,
,ab.test.view,Просмотр варианта теста (версия A/B),Portal Frontend,Средняя,"user_id, test_id, variant (A/B), timestamp",user_events
,ab.test.click,Клик на элемент в рамках A/B теста,Portal Frontend,Средняя,"user_id, test_id, variant, element_id, timestamp",user_events
,ab.test.convert,Конверсия в рамках A/B теста,Portal Frontend,Высокая,"user_id, test_id, variant, conversion_value, timestamp",user_events
,ab.test.complete,Завершение участия в A/B тесте,Portal Frontend,Средняя,"user_id, test_id, variant, timestamp",user_events
Когортный анализ,,,,,,
,cohort.join,Присоединение пользователя к когорте,Analytics Service,Средняя,"user_id, cohort_id, cohort_type, timestamp",user_events
,cohort.activity,Активность пользователя в рамках когорты,Analytics Service,Средняя,"user_id, cohort_id, activity_type, timestamp",user_events
,cohort.retention,Фиксация удержания пользователя в когорте,Analytics Service,Средняя,"user_id, cohort_id, days_retained, timestamp",user_events
,cohort.ltv,Расчет пожизненной ценности (LTV) в когорте,Analytics Service,Средняя,"user_id, cohort_id, ltv_value, timestamp",user_events
Чат-бот — общие,,,,,,
,chatbot.start,Инициация диалога с чат-ботом,Bot Engine,Средняя,"user_id, conversation_id, platform, timestamp",user_events
,chatbot.message.send,Отправка сообщения пользователем чат-боту,Bot Engine,Средняя,"user_id, conversation_id, message_type, timestamp",user_events
,chatbot.message.receive,Получение сообщения чат-ботом,Bot Engine,Средняя,"user_id, conversation_id, message_id, timestamp",user_events
,chatbot.response,Отправка ответа чат-ботом пользователю,Bot Engine,Средняя,"user_id, conversation_id, response_type, intent, timestamp",user_events
,chatbot.handoff,Передача диалога от бота к оператору поддержки,Bot Engine,Высокая,"user_id, conversation_id, reason, operator_id, timestamp",crm_events
,chatbot.rate,Оценка полезности ответа чат-бота,Bot Engine,Средняя,"user_id, conversation_id, rating (1-5), timestamp",user_events
,chatbot.containment,Успешное решение запроса без передачи оператору,Bot Engine,Высокая,"user_id, conversation_id, resolved (bool), timestamp",user_events
,chatbot.time_spent,Общее время взаимодействия с чат-ботом,Bot Engine,Средняя,"user_id, conversation_id, total_duration_ms, timestamp",user_events
Чат-бот — персонализация,,,,,,
,chatbot.personalization.suggest,Предложение персонализированной активности ботом,Bot Engine,Средняя,"user_id, conversation_id, offer_id, crm_data_used, timestamp",user_events
,chatbot.personalization.click,Клик пользователя по предложению бота,Portal Frontend,Средняя,"user_id, conversation_id, offer_id, timestamp",user_events
,chatbot.personalization.convert,Конверсия через персонализированное предложение бота,Bot Engine,Высокая,"user_id, conversation_id, offer_id, conversion_value, timestamp",user_events
Администрирование — активности,,,,,,
,admin.activity.create,Создание новой активности администратором,CRM Panel,Высокая,"admin_id, activity_id, activity_type, campaign_id, timestamp",crm_events
,admin.activity.edit,Редактирование параметров активности,CRM Panel,Средняя,"admin_id, activity_id, fields_changed{}, timestamp",crm_events
,admin.activity.publish,Публикация активности для пользователей,CRM Panel,Высокая,"admin_id, activity_id, campaign_id, timestamp",crm_events
,admin.activity.unpublish,Снятие активности с публикации,CRM Panel,Высокая,"admin_id, activity_id, reason, timestamp",crm_events
,admin.activity.archive,Архивация завершенной активности,CRM Panel,Средняя,"admin_id, activity_id, campaign_id, timestamp",crm_events
,admin.activity.test,Тестирование активности в режиме отладки,CRM Panel,Средняя,"admin_id, activity_id, test_result, timestamp",crm_events
,admin.activity.delete,Удаление активности из системы,CRM Panel,Высокая,"admin_id, activity_id, reason, timestamp",crm_events
Администрирование — пользователи,,,,,,
,admin.user.view,Просмотр профиля пользователя администратором,CRM Panel,Средняя,"admin_id, user_id, session_id, timestamp",crm_events
,admin.user.edit,Редактирование данных пользователя,CRM Panel,Высокая,"admin_id, user_id, fields_changed{}, timestamp",crm_events
,admin.user.ban,Блокировка пользователя,CRM Panel,Высокая,"admin_id, user_id, reason, duration, timestamp",crm_events
,admin.user.unban,Разблокировка пользователя,CRM Panel,Высокая,"admin_id, user_id, reason, timestamp",crm_events
,admin.user.export,Экспорт данных пользователя,CRM Panel,Высокая,"admin_id, user_id, export_format, timestamp",crm_events
Администрирование — кампании,,,,,,
,admin.campaign.create,Создание новой промо-кампании,CRM Panel,Высокая,"admin_id, campaign_id, campaign_type, timestamp",crm_events
,admin.campaign.edit,Редактирование параметров кампании,CRM Panel,Средняя,"admin_id, campaign_id, fields_changed{}, timestamp",crm_events
,admin.campaign.publish,Запуск кампании для пользователей,CRM Panel,Высокая,"admin_id, campaign_id, published_at, timestamp",crm_events
,admin.campaign.unpublish,Остановка активной кампании,CRM Panel,Высокая,"admin_id, campaign_id, reason, timestamp",crm_events
,admin.campaign.archive,Архивация завершенной кампании,CRM Panel,Средняя,"admin_id, campaign_id, archived_at, timestamp",crm_events
,admin.campaign.delete,Удаление кампании из системы,CRM Panel,Высокая,"admin_id, campaign_id, reason, timestamp",crm_events
Безопасность,,,,,,
,security.login,Вход администратора в систему управления,Auth Service,Высокая,"admin_id, ip_address, user_agent, timestamp",crm_events
,security.logout,Выход администратора из системы,Auth Service,Средняя,"admin_id, session_id, timestamp",crm_events
,security.action,Выполнение критического действия администратором,CRM Panel,Высокая,"admin_id, action_type, resource_id, timestamp",crm_events
,security.change,Изменение настроек безопасности системы,CRM Panel,Высокая,"admin_id, setting_changed, old_value, new_value, timestamp",crm_events
,security.alert,Срабатывание системы безопасности (подозрительная активность),Security Service,Высокая,"alert_type, user_id, ip_address, risk_score, timestamp",crm_events
,security.review,Просмотр логов безопасности администратором,CRM Panel,Средняя,"admin_id, logs_viewed[], timestamp",crm_events
,fraud.detected,Автоматическое обнаружение подозрительной активности,Security Service,Высокая,"user_id, fraud_type, risk_score, evidence{}, timestamp",crm_events
,fraud.review,Ручная проверка подозрительной активности,Security Service,Высокая,"user_id, reviewer_id, decision, timestamp",crm_events
,fraud.blocked,Блокировка выявленной мошеннической активности,Security Service,Высокая,"user_id, fraud_type, blocked_at, timestamp",crm_events
,fraud.whitelist,Добавление пользователя/действия в белый список,Security Service,Высокая,"user_id, admin_id, reason, timestamp",crm_events
,fraud.blacklist,Добавление пользователя/действия в черный список,Security Service,Высокая,"user_id, admin_id, reason, timestamp",crm_events
